,K1,K2,K3,S1,S2,S3
Creatinine,0.857142857,0,0.642857143,0.642857143,1,0.071428571
PEP,0.551724138,0.517241379,0,0.517241379,1,0.568965517
Adenosine,1,1,1,0,1,1
cAMP,0.333333333,0.666666667,0,1,0.333333333,0.333333333
AMP,0,0.428805237,0.062193126,0.140752864,0.047463175,1
ADP,0.508474576,0,0.194915254,0.194915254,0.593220339,1
GDP,0.283950617,0.209876543,0,0.111111111,0.320987654,1
ATP,0.30952381,0.30952381,0,0,0.261904762,1
GTP,1,0.242424242,0.272727273,0,0.151515152,0.484848485
NADH,0.365384615,0,0.903846154,1,0.980769231,0.480769231
NADP,1,1,1,0,0,1
FAD,0.181818182,1,0.090909091,0.181818182,0.909090909,0
R5P,0.943396226,0.698113208,1,0.943396226,0,0.943396226
2-O,0,0.608695652,0.260869565,0.695652174,0.630434783,1
cGMP,1,0.5,0.5,1,1,0
GMP,1,0.826359833,0,0.0041841,0.485355649,0.838912134
