classification,1,2,3
MPS,0.22,0.1,0.19
MPS,1.16,1.14,0.84
MPS,0.01,0.01,0.01
MPS,0.06,0.07,0.05
MPS,3.84,6.46,4.22
MPS,1.37,0.77,1
MPS,0.64,0.58,0.41
MPS,0.36,0.36,0.23
MPS,0.33,0.08,0.09
MPS,0.19,0,0.47
MPS,0.01,0.01,0.01
MPS,0.26,0.35,0.25
MPS,3.33,3.2,3.36
MPS,0.23,0.51,0.35
MPS,0.04,0.02,0.02
MPS,7.87,7.04,3.09
CK,0.19,0.24,0.11
CK,1.14,1.42,1.17
CK,0,0.01,0.01
CK,0.08,0.06,0.06
CK,4.7,4.13,9.95
CK,1,1.47,1.95
CK,0.5,0.67,1.22
CK,0.23,0.34,0.65
CK,0,0.05,0.16
CK,0.52,0.51,0.25
CK,0,0,0.01
CK,0.26,0.34,0.24
CK,3.33,2.83,3.33
CK,0.55,0.52,0.69
CK,0.04,0.04,0
CK,3.11,5.41,7.1
