OTUID	CKG1	CKG2	CKG3	MPSG1	MPSG2	MPSG3
otu1	8	0	3	11	39	37
otu2	153	167	133	41	157	40
otu3	206	96	24	87	26	101
otu4	1	0	2	2	0	8
otu5	129	113	41	61	38	71
otu6	90	63	37	49	37	42
otu7	0	2	0	11	4	2
otu8	41	70	28	22	6	4
otu9	0	0	8	2	3	0
otu10	0	0	0	0	0	10
otu11	47	36	30	16	19	32
otu12	14	0	9	0	13	15
otu13	2	2	2	0	9	13
otu14	8	0	3	6	4	6
otu15	2	0	0	4	5	17
otu16	1	0	0	0	7	3
otu17	0	0	0	0	0	7
otu18	7	4	5	1	3	141
otu19	0	0	0	10	9	0
otu20	0	1	0	14	0	0
otu21	1	5	0	3	0	3
otu22	4	9	9	6	4	0
otu23	0	0	0	6	7	6
otu24	10	8	7	9	9	8
otu25	0	0	0	6	3	7
otu26	3	0	0	2	0	0
otu27	0	0	2	3	0	0
otu28	0	0	0	0	2	5
otu29	0	0	0	0	2	30
otu30	3	0	0	0	5	0
otu31	0	3	0	3	0	0
otu32	9	0	0	0	0	0
otu33	13	13	3	2	0	0
otu34	7	5	6	5	5	2
otu35	0	0	0	0	0	20
otu36	18	0	0	0	0	10
otu37	9	8	3	0	0	0
otu38	0	0	0	0	15	0
otu39	0	2	4	3	0	0
otu40	0	0	0	0	0	5
otu41	4	0	4	0	3	0
otu42	0	0	0	0	0	32
otu43	2	3	2	7	0	3
otu44	6	0	5	0	0	0
otu45	0	0	8	0	0	0
otu46	4	0	4	0	0	4
otu47	0	0	0	4	2	0
otu48	2	0	0	0	5	0
otu49	0	0	0	0	0	6
otu50	6	0	0	0	0	0
otu51	0	0	0	0	5	0
otu52	0	0	3	4	0	0
otu53	0	2	0	0	0	3
otu54	0	0	3	0	2	0
otu55	2	0	0	3	0	4
otu56	0	5	0	0	0	0
otu57	0	0	3	3	0	0
otu58	0	0	0	5	0	0
