,Botu10,Botu161,Botu652,Botu8,Botu173,Botu3,Botu1,Botu12,Botu272,Botu6,Fotu11,Fotu32,Fotu20,Fotu1,Fotu23,Fotu37,Fotu15,Fotu33,Votu2,Votu4,Votu80,Votu6,Votu95,Votu8,Votu30,Votu3,Votu63,Votu1
SOD,0.867982763343696,-0.817016364551554,-0.948848480228222,-0.898355007951861,0.830587368428545,0.94179114820854,-0.625625969063462,0.952653027205176,-0.680775527109816,-0.888557773795382,0.656683723287449,0.438064560236301,-0.336411452588874,-0.841022904725567,-0.980715033148945,0.820990279462512,-0.757124178116779,0.74291091993055,-0.762541721692205,0.618139411691628,0.322272265563657,-0.954754690431068,0.757420744861506,0.907917981066841,0.891783321161746,-0.915648103758732,-0.35817964538647,-0.873299721275277
CAT,0.873768425094635,-0.898629474200903,-0.982466501534419,-0.938343662268224,0.847867016778507,0.960124378722181,-0.572220835470891,0.918878359704441,-0.693762959755547,-0.855372219510343,0.746438367765969,0.453607039266351,-0.36716183887812,-0.836452375411615,-0.996733465630683,0.895265399945467,-0.683683614514292,0.833826699361861,-0.809040874587537,0.722183966927504,0.324702759671691,-0.958075387519115,0.664782343925864,0.931297082274866,0.858233742293134,-0.913888003090208,-0.397597071785859,-0.892738142146781
MDA,-0.841136394965636,0.83987474431662,0.954555278036263,0.843533275175282,-0.796825628479955,-0.928033401829329,0.595523434204942,-0.874305949705142,0.571491010876154,0.790925046780345,-0.688246586220175,-0.31628492023328,0.481178272954656,0.763015339206952,0.966883424992538,-0.850846368316998,0.683422034284884,-0.780172778563457,0.831138731668322,-0.791046245295281,-0.145778377530114,0.994392347977877,-0.691980841447143,-0.897676378741664,-0.786131656076771,0.948313024988216,0.516406207543803,0.962406574149065
MPO,0.897652697548163,-0.873539116911202,-0.983854092610974,-0.905873714523031,0.863046063013493,0.970351115665439,-0.604887512499635,0.920376468658207,-0.628023833572974,-0.858444865984397,0.754218723351166,0.448779573488668,-0.447391442203498,-0.782861712442367,-0.984592036249771,0.905596608187178,-0.683739438784409,0.838135649249597,-0.78913475981353,0.776770170369179,0.292413867436387,-0.976876043234397,0.640117753282483,0.946213896758463,0.808549742048368,-0.938071950267191,-0.478899007950995,-0.936330203704783
GSH,0.902585850811547,-0.685899905860618,-0.901030924390672,-0.799687107693971,0.843348009510392,0.929877526382813,-0.707976303637645,0.971275753062569,-0.554176532186658,-0.923255716591236,0.596986564009653,0.466018174300329,-0.422304891596986,-0.725857612738416,-0.91424907492133,0.772214742074857,-0.797866804268623,0.674324159860886,-0.630187027969625,0.598672493943197,0.324311556234743,-0.940291782339598,0.734643423533779,0.903857813099041,0.80817741776338,-0.923536256674645,-0.435990973822689,-0.88992708669652
GSSG,-0.811265632315428,0.789387361840775,0.908452516681647,0.845587794452856,-0.816110192722644,-0.900290033583245,0.699542834001256,-0.869117000951004,0.494315102663153,0.783931082580401,-0.743673403045306,-0.324290813961334,0.55397851084724,0.70924295142273,0.968182284715285,-0.797228027599477,0.555484996017447,-0.700392858865726,0.889872595214838,-0.693803855218577,-0.132332813419183,0.970073375218419,-0.746280517060877,-0.888888928303306,-0.744099067593903,0.864633667494861,0.580309877615018,0.915375110740439
GSH-Px,0.712700958678104,-0.895270920454828,-0.908196165647262,-0.872294293322175,0.712165664431072,0.847461022786721,-0.486758388194061,0.767325196278345,-0.623593635274766,-0.66861672788257,0.710718562017131,0.237643193907335,-0.383903776898123,-0.800771891145875,-0.956966850502184,0.810333877724059,-0.530409077099354,0.75867878548832,-0.938841343619766,0.725180511194996,0.0976022682187985,-0.922803745835396,0.679708449928739,0.817064936678783,0.788677724066517,-0.833521356455343,-0.423394464161462,-0.855160781843385
ROS,-0.898888307574164,0.689134061297423,0.862837755671734,0.867572636402063,-0.945937882096442,-0.923038121485663,0.842362287750019,-0.941822848071184,0.430636013380699,0.912737548569435,-0.849413521003829,-0.603923742365998,0.593779907280609,0.59356066400928,0.921756429185945,-0.798936947923222,0.465215072419342,-0.675312960245631,0.723986129882784,-0.549400167863183,-0.408990041602842,0.872853703414085,-0.645468399814996,-0.945713560875605,-0.665957498169966,0.754257110058032,0.598510695989118,0.808435824919073
NO,-0.700606689850369,0.768619500359757,0.865362711027071,0.706830136359881,-0.642375633966319,-0.811168442896172,0.514209957694542,-0.736528040811452,0.463409365126986,0.622680276021736,-0.560594008476596,-0.0828565089793725,0.502738564225967,0.695290322433566,0.887240822031239,-0.738204632499218,0.63271821862529,-0.674909713209829,0.863012107374458,-0.80538438969406,0.100129725679572,0.966780728856106,-0.705289445549137,-0.771443890337463,-0.702015741096949,0.915193482739715,0.545602294977376,0.955596168269943
Muc1,-0.893376590503242,0.844508018471063,0.970762287533604,0.903925598205621,-0.865289774130131,-0.96494167378021,0.646811626563088,-0.939779025313543,0.622463228977848,0.875941707731776,-0.73684992387252,-0.446906006698177,0.443637452115478,0.78909436111223,0.990070192634229,-0.873103132211058,0.691779338086065,-0.794279460669692,0.795509841270816,-0.717717156257731,-0.293410286436379,0.977818714042471,-0.696991199146525,-0.941697875683542,-0.827593719964312,0.927434469660298,0.470322451147419,0.922614013981189
