	MPSG1	MPSG2	MPSG3	CKG1	CKG2	CKG3
otu1	798	456	688	208	0	164
otu2	4947	6099	2845	2871	183	90
otu3	315	240	406	91	0	82
otu4	395	1009	673	1465	2219	909
otu5	361	406	394	93	15	92
otu6	223	170	210	49	0	10
otu7	107	109	266	55	3	43
otu8	190	367	310	1176	885	807
otu9	175	97	87	57	0	60
otu10	67	173	74	0	0	16
otu11	106	91	67	29	0	42
otu12	117	144	100	26	0	15
otu13	198	58	118	379	201	412
otu14	0	30	63	17	0	11
otu15	557	265	168	205	26	10
otu16	22	214	111	337	202	462
otu17	168	48	96	216	155	232
otu18	325	221	147	157	0	0
otu19	30	83	25	15	0	16
otu20	34	56	36	14	0	0
otu21	10	35	59	11	0	23
otu22	32	25	30	14	0	22
otu23	128	471	83	2	0	7
otu24	46	61	69	191	38	48
otu25	34	105	42	123	56	110
otu26	0	42	22	0	0	4
otu27	52	26	27	110	63	118
otu28	65	21	168	98	55	40
otu29	15	22	24	164	153	81
otu30	54	20	17	64	67	74
otu31	9	11	0	0	0	0
otu32	0	0	0	0	0	14
otu33	6	5	8	126	0	1
otu34	14	32	27	72	30	66
otu35	11	25	22	85	26	65
otu36	0	11	15	0	0	6
otu37	11	29	27	20	25	26
otu38	24	13	47	7	19	35
otu39	29	153	3	0	0	46
otu40	0	9	0	88	28	12
otu41	13	0	26	9	109	31
otu42	0	20	0	0	0	0
otu44	5	0	4	37	77	30
otu45	0	15	9	0	0	0
otu46	4	20	28	49	17	6
otu47	7	2	10	32	0	3
otu48	0	28	14	54	13	12
otu49	0	0	37	3	1	0
otu50	13	35	12	11	15	35
otu52	0	0	0	6	0	0
otu53	30	0	5	16	14	0
otu54	26	6	14	10	19	19
otu55	10	80	7	0	0	24
otu57	11	66	3	0	0	23
otu58	3	17	3	0	17	7
otu59	22	5	10	7	13	17
otu60	0	0	12	0	0	0
otu61	0	0	6	0	0	0
otu62	17	26	9	12	3	3
otu63	18	0	0	0	0	0
otu64	14	41	3	7	0	11
otu65	13	41	6	0	0	0
otu66	6	2	12	16	14	17
otu67	7	0	0	0	0	0
otu68	6	15	10	8	0	0
otu69	0	49	0	0	4	0
otu70	0	17	0	27	17	2
otu71	2	4	0	27	18	0
otu72	0	64	0	0	0	0
otu73	0	23	3	0	0	24
otu74	10	4	6	15	0	0
otu75	0	6	5	4	16	5
otu77	8	23	7	2	4	0
otu79	0	3	0	10	5	5
otu80	9	0	0	27	0	0
otu82	5	6	9	6	4	5
otu83	3	37	0	0	0	10
otu85	0	0	0	7	0	0
otu86	5	21	3	0	2	0
otu88	6	0	0	5	6	17
otu91	6	21	6	0	0	0
otu92	8	0	0	19	0	0
otu94	0	0	0	0	0	22
otu95	2	0	0	5	9	26
otu96	4	0	12	3	0	3
otu97	4	28	0	0	0	8
otu98	0	0	0	0	3	25
otu99	0	0	39	0	0	0
otu101	0	31	0	0	0	0
otu102	3	2	4	6	6	7
otu107	3	0	6	0	7	0
otu110	3	0	8	6	0	0
otu111	4	0	4	9	6	0
otu112	0	3	2	2	14	0
otu114	0	11	0	0	4	0
otu115	17	0	4	0	0	0
otu119	0	0	0	12	0	0
otu121	12	2	4	0	0	0
otu123	0	0	8	0	0	0
otu125	0	0	0	0	17	0
otu126	0	4	0	3	0	1
otu127	7	0	0	5	1	0
otu128	0	2	0	0	10	0
otu129	0	0	1	2	12	0
otu130	0	0	0	8	0	0
otu132	5	0	0	0	0	0
otu134	0	0	7	5	0	0
otu135	0	0	3	0	6	0
otu137	0	8	0	0	0	6
otu139	0	8	3	0	2	0
otu140	0	2	0	5	4	0
otu141	0	0	0	0	13	0
otu142	0	2	11	0	0	0
otu146	0	3	10	0	0	0
otu147	0	4	9	0	0	0
otu149	0	8	0	0	0	4
otu150	0	12	0	0	0	0
otu155	0	0	10	0	0	0
otu156	0	0	6	0	4	0
otu157	0	0	0	0	7	0
otu161	0	0	0	0	9	0
otu162	0	0	0	0	6	0
otu163	0	0	0	0	6	0
otu167	0	0	0	2	2	5
otu168	0	9	0	0	0	0
otu169	0	0	9	0	0	0
otu173	0	0	0	0	8	0
otu174	0	0	7	0	0	0
otu175	0	0	0	5	2	0
otu176	0	0	0	0	2	5
otu182	0	0	6	0	0	0
otu184	0	6	0	0	0	0
otu185	0	2	4	0	0	0
otu186	0	0	0	0	6	0
otu187	6	0	0	0	0	0
otu192	0	0	0	0	0	6
otu195	0	0	0	0	6	0
otu196	6	0	0	0	0	0
otu197	0	0	0	0	5	0
otu200	0	0	0	0	0	5
