"Source","Target","r_value","p_value","abs_value","linktype"
"Liver-TC","Kidney.TG.mmol.L",0.889669901269406,0.0175875867396556,0.889669901269406,1
"Pkm","Kidney.TG.mmol.L",-0.905851554940657,0.0128786319611191,0.905851554940657,-1
"Liver-TG","Kidney.TC.mmol.L",0.974836814057707,0.000941812402543997,0.974836814057707,1
"Liver-TC","Kidney.TC.mmol.L",0.878834334727348,0.0211322539200234,0.878834334727348,1
"Chrebp","Kidney.TC.mmol.L",-0.996355009555966,1.99047194155232e-05,0.996355009555966,-1
"Pkm","Kidney.TC.mmol.L",-0.904445269732717,0.0132598186174263,0.904445269732717,-1
"Gk","Kidney.TC.mmol.L",-0.992626243632229,8.13579604729667e-05,0.992626243632229,-1
"Fat","Kidney.TC.mmol.L",-0.988894284679359,0.000184320496853717,0.988894284679359,-1
"Fatp2","Kidney.TC.mmol.L",-0.995851187686735,2.57832594021702e-05,0.995851187686735,-1
"Ppar-a","Kidney.TC.mmol.L",-0.994879551864986,3.92613571681295e-05,0.994879551864986,-1
"Cpt1a","Kidney.TC.mmol.L",-0.995215777677149,3.42784223378497e-05,0.995215777677149,-1
"Ppar-y","Kidney.TC.mmol.L",-0.994124336524549,5.16837079124014e-05,0.994124336524549,-1
"FAS","Kidney.TC.mmol.L",-0.996006767238432,2.38870239711897e-05,0.996006767238432,-1
"Dgat1","Kidney.TC.mmol.L",0.99390804421026,5.55548459119771e-05,0.99390804421026,1
"Dgat2","Kidney.TC.mmol.L",-0.995993416021717,2.40469144868399e-05,0.995993416021717,-1
"Gpat","Kidney.TC.mmol.L",-0.99621019690587,2.15166955112589e-05,0.99621019690587,-1
"Liver weight","Kidney.TC.mmol.L",-0.977228462350088,0.000771910380520042,0.977228462350088,-1
"Liver-TG","KbP65",0.98970444076692,0.000158452152759609,0.98970444076692,1
"Liver-TC","KbP65",0.893431912768468,0.0164300018774401,0.893431912768468,1
"Chrebp","KbP65",-0.992171055344653,9.16986343211823e-05,0.992171055344653,-1
"Pkm","KbP65",-0.892638547797004,0.0166709722367296,0.892638547797004,-1
"Gk","KbP65",-0.982401809826098,0.000461819398926352,0.982401809826098,-1
"Fat","KbP65",-0.979924039918962,0.000600520510397337,0.979924039918962,-1
"Fatp2","KbP65",-0.990823828190571,0.000125916867012675,0.990823828190571,-1
"Ppar-a","KbP65",-0.987292194276562,0.000241206408318319,0.987292194276562,-1
"Cpt1a","KbP65",-0.987383621186517,0.000237755428024883,0.987383621186517,-1
"Ppar-y","KbP65",-0.984348919204505,0.000365517579444056,0.984348919204505,-1
"FAS","KbP65",-0.995776670086491,2.67171085926527e-05,0.995776670086491,-1
"Dgat1","KbP65",0.994837276933951,3.9911761324766e-05,0.994837276933951,1
"Dgat2","KbP65",-0.991237958221637,0.000114823718424117,0.991237958221637,-1
"Gpat","KbP65",-0.991632270002493,0.000104735408319596,0.991632270002493,-1
"Liver weight","KbP65",-0.942357739204511,0.00488818338531157,0.942357739204511,-1
"Liver-TG","NLRP3",0.98255757381093,0.000453704020594504,0.98255757381093,1
"Liver-TC","NLRP3",0.88540081896001,0.0189469445077385,0.88540081896001,1
"Chrebp","NLRP3",-0.999017096991214,1.44867269654682e-06,0.999017096991214,-1
"Pkm","NLRP3",-0.903231333001887,0.0135931830069731,0.903231333001887,-1
"Gk","NLRP3",-0.994089744662255,5.22934513222481e-05,0.994089744662255,-1
"Fat","NLRP3",-0.990889830845027,0.000124114722974645,0.990889830845027,-1
"Fatp2","NLRP3",-0.998460661605889,3.55252025796063e-06,0.998460661605889,-1
"Ppar-a","NLRP3",-0.996893547939593,1.44600779052517e-05,0.996893547939593,-1
"Cpt1a","NLRP3",-0.997053660949223,1.30085822455336e-05,0.997053660949223,-1
"Ppar-y","NLRP3",-0.995479603758419,3.06047884232266e-05,0.995479603758419,-1
"FAS","NLRP3",-0.999522181197923,3.42411665828979e-07,0.999522181197923,-1
"Dgat1","NLRP3",0.998085993375608,5.49162613095335e-06,0.998085993375608,1
"Dgat2","NLRP3",-0.998653810552504,2.7171192430471e-06,0.998653810552504,-1
"Gpat","NLRP3",-0.998872429315844,1.90640666614626e-06,0.998872429315844,-1
"Liver weight","NLRP3",-0.962340804720137,0.00210061806607807,0.962340804720137,-1
"Liver-TG","IL.6",0.878450374144098,0.021263561298235,0.878450374144098,1
"Chrebp","IL.6",-0.954812634485643,0.00301671300750959,0.954812634485643,-1
"Gk","IL.6",-0.975322606847534,0.000905946657090152,0.975322606847534,-1
"Fat","IL.6",-0.982454379775088,0.000459072484645353,0.982454379775088,-1
"Fatp2","IL.6",-0.963689606531363,0.00195373038833381,0.963689606531363,-1
"Ppar-a","IL.6",-0.968267307366087,0.00149446883660693,0.968267307366087,-1
"Cpt1a","IL.6",-0.962798457777144,0.00205018949022112,0.962798457777144,-1
"Ppar-y","IL.6",-0.964404708875146,0.0018779870679707,0.964404708875146,-1
"FAS","IL.6",-0.942868380529234,0.00480279348522276,0.942868380529234,-1
"Dgat1","IL.6",0.959414475604587,0.00243735125642771,0.959414475604587,1
"Dgat2","IL.6",-0.962588402975459,0.0020732602361632,0.962588402975459,-1
"Gpat","IL.6",-0.960320823538038,0.00233041938438681,0.960320823538038,-1
"Liver weight","IL.6",-0.95011565420419,0.00367060463406102,0.95011565420419,-1
