OTU	CKG1	CKG2	CKG3	MPSG1	MPSG2	MPSG3
Liver-TG	0.75202	0.63797	0.70222	1.55021	1.38563	1.70219
Liver-TC	1.46802	1.08712	1.29972	3.44341	2.05267	3.31939
Chrebp	1	1	1	0.28255429	0.30919738	0.290497973
Pkm	1	1	1	0.559922865	0.814112457	0.698968817
Gk	1	1	1	0.395925255	0.366859614	0.433258512
Fat	1	1	1	0.363493129	0.262429171	0.366021424
Fatp2	1	1	1	0.125	0.10732068	0.125
Ppar-a	1	1	1	0.118257206	0.100133735	0.149684838
Cpt1a	1	1	1	0.176360576	0.198415963	0.223229562
Ppar-y	1	1	1	0.395020656	0.41754396	0.447512535
FAS	1	1	1	0.360982299	0.400534939	0.339151082
Dgat1	1	1	1	1.670175839	1.741101127	1.753211443
Dgat2	1	1	1	0.081333866	0.067451765	0.079660039
Gpat	1	1	1	0.009662418	0.010647068	0.011732059
Liver weight	1.49	1.41	1.37	0.97	1.02	1.09
