	CKG1	CKG2	CKG3	MPSG1	MPSG2	MPSG3
otu1	423592	862011	342997	1259386	749400	760737
otu2	933793	911647	730113	500941	556998	426634
otu3	607606	510604	456437	173602	224230	168127
otu4	403941	273735	331831	145193	157831	196316
otu5	28113	5670	25240	71698	74969	57239
otu6	90969	193709	155786	262795	240356	282197
otu7	23873	5977	23458	40954	41916	53370
otu8	66405	89878	101165	140534	179079	149686
otu9	311942	33439	98291	141701	21928	100156
otu10	208321	152019	142536	61666	101155	64621
otu11	30734	59850	120932	64355	134948	127121
otu12	182163	128324	158337	62951	77126	49818
otu13	212557	118871	89253	61783	47224	61839
otu14	68644	32905	60846	74912	136622	114810
otu15	184232	157369	134188	41189	52958	36901
otu16	178745	127175	121537	48943	57317	40600
otu17	125912	202102	85640	23979	121754	24058
otu18	21539	64902	78047	74015	106099	68453
otu19	131071	91643	112318	28737	41922	30886
otu20	115697	85831	102929	24281	50643	35917
otu21	20985	58785	84551	51767	32738	93582
otu22	110058	76548	73408	30478	40131	30401
otu23	28528	31299	57105	42628	103106	61787
otu24	90976	72663	74568	18534	40444	19861
otu25	19895	42672	51002	50076	37160	58998
otu26	78283	26467	167227	11992	10551	13683
otu27	129357	40297	85854	14009	4901	16246
otu28	69230	85054	56562	19538	41763	15348
otu29	70026	36382	82599	25146	31061	19093
otu30	64890	61298	63082	15587	59600	14788
otu31	16747	31044	25312	49570	64741	54642
otu32	108844	11292	137856	10008	1674	4716
otu33	89078	66133	50046	18991	28261	19020
otu34	20824	52589	18957	55688	41554	34061
otu35	64636	37246	64105	41547	25699	20502
otu36	44664	72758	30612	15389	53146	13111
otu37	16815	24659	26966	46821	40774	55038
otu38	103291	43983	44262	17536	18303	16455
otu39	56185	45489	56967	13375	35122	21267
otu40	63667	51260	71284	11536	25880	12271
otu41	13209	33716	23139	46284	46727	40590
otu42	69401	55370	44781	20859	15088	17085
otu43	36207	9881	20653	40208	27952	34078
otu44	46923	73926	34857	11053	19457	11344
otu45	9680	52095	17006	22515	57215	19038
otu46	52390	49732	35322	13845	19721	24359
otu47	10785	33161	10479	49030	24626	56417
otu48	52202	17847	63068	16683	11562	12785
otu49	44709	65337	32968	10819	19497	10245
otu50	33361	35213	6040	5760	35354	837
otu51	48240	17439	106979	6902	6949	7626
otu52	65006	35581	42735	10555	18738	10680
otu53	9645	14540	19467	16053	81445	26942
otu54	33110	71724	25479	7493	15728	7432
otu55	45767	38223	39715	11272	12333	14634
