	CKG1	CKG2	CKG3
otu1	423592	862011	342997
otu2	933793	911647	730113
otu3	607606	510604	456437
otu4	403941	273735	331831
otu5	28113	5670	25240
otu6	90969	193709	155786
otu7	23873	5977	23458
otu8	66405	89878	101165
otu9	311942	33439	98291
otu10	208321	152019	142536
otu11	30734	59850	120932
otu12	182163	128324	158337
otu13	212557	118871	89253
otu14	68644	32905	60846
otu15	184232	157369	134188
otu16	178745	127175	121537
otu17	125912	202102	85640
otu18	21539	64902	78047
otu19	131071	91643	112318
otu20	115697	85831	102929
otu21	20985	58785	84551
otu22	110058	76548	73408
otu23	28528	31299	57105
otu24	90976	72663	74568
otu25	19895	42672	51002
otu26	78283	26467	167227
otu27	129357	40297	85854
otu28	69230	85054	56562
otu29	70026	36382	82599
otu30	64890	61298	63082
otu31	16747	31044	25312
otu32	108844	11292	137856
otu33	89078	66133	50046
otu34	20824	52589	18957
otu35	64636	37246	64105
otu36	44664	72758	30612
otu37	16815	24659	26966
otu38	103291	43983	44262
otu39	56185	45489	56967
otu40	63667	51260	71284
otu41	13209	33716	23139
otu42	69401	55370	44781
otu43	36207	9881	20653
otu44	46923	73926	34857
otu45	9680	52095	17006
otu46	52390	49732	35322
otu47	10785	33161	10479
otu48	52202	17847	63068
otu49	44709	65337	32968
otu50	33361	35213	6040
otu51	48240	17439	106979
otu52	65006	35581	42735
otu53	9645	14540	19467
otu54	33110	71724	25479
otu55	45767	38223	39715
otu56	46455	38276	26892
otu57	27369	60697	21809
otu58	33554	28219	34475
otu59	36939	30535	26284
otu60	7401	13348	13382
otu61	35500	32057	20546
otu62	25149	25978	25465
otu63	25526	21822	24954
otu64	8953	5873	8688
otu65	28068	24500	23466
otu66	5960	11174	11746
otu67	29502	20445	19166
otu68	10408	12610	14898
otu69	7154	15265	13824
otu70	22523	45789	16037
otu71	7146	17898	6497
otu72	20651	20779	16553
otu73	4241	15052	4957
otu74	7173	12780	7722
otu75	25199	22050	17989
otu76	7064	4571	10607
otu77	22006	23803	15538
otu78	3647	11058	9041
otu79	9651	4553	7955
otu80	17673	28159	16212
otu81	20892	19241	14134
otu82	17407	24257	13462
otu83	9351	7905	4967
otu84	17659	19322	14042
otu85	3657	6806	7785
otu86	5457	13478	12293
otu87	21371	14621	15460
otu88	4366	4825	9532
otu89	20073	14977	13465
otu90	4401	6942	8264
otu91	7001	2034	2921
otu92	5172	3794	6260
otu93	7035	3386	6050
otu94	6065	1305	9328
otu95	3760	6804	7229
otu96	2843	9953	3412
otu97	19416	8781	15964
otu98	5093	8777	8671
otu99	16141	5027	29501
otu100	19386	15910	12718
otu101	6984	5117	14969
otu102	5764	6687	6145
otu103	4871	8266	8808
otu104	14742	14314	12171
otu105	1089	17536	3222
otu106	5110	7857	4103
otu107	16547	13386	11519
otu108	10356	19323	8082
otu109	5395	1142	8175
otu110	559	4435	526
otu111	2771	5576	5935
otu112	14614	11370	8699
otu113	22703	128	136
otu114	4934	1103	7475
otu115	13913	6208	6946
otu116	4715	1134	7298
otu117	7232	1786	4638
otu118	11737	11808	10209
otu119	17206	6238	7409
otu120	2975	3661	2837
otu121	3018	4874	5192
otu122	17033	9881	9764
otu123	7833	7656	6515
otu124	10108	14617	6427
otu125	5102	2612	4541
otu126	9985	9639	9822
otu127	1258	459	1379
otu128	10224	12183	9420
otu129	4804	2312	3938
otu130	10660	15576	6969
otu131	3234	8309	7662
otu132	11294	8514	7673
otu133	472	14284	16909
otu134	5228	23234	5363
otu135	2627	5859	5308
otu136	4503	1904	5424
otu137	9058	8363	7212
otu138	8265	11602	8893
otu139	9781	10874	7664
otu140	3969	808	6165
otu141	4520	5581	5203
otu142	9941	8565	8900
otu143	4114	840	5843
otu144	2988	2913	4207
otu145	2575	5533	4898
otu146	8997	10914	5885
otu147	8361	12560	8120
otu148	13257	7456	7713
otu149	8531	6794	9551
otu150	9088	7396	6115
otu151	5580	1471	3485
otu152	11140	10501	5381
otu153	8513	8525	7041
otu154	4926	1362	3755
otu155	9208	5853	4873
otu156	3221	661	4965
otu157	2584	3365	4305
otu158	7880	572	2442
otu159	8834	6549	6501
otu160	11259	5676	6628
otu161	3159	2494	4082
otu162	1632	2863	3404
otu163	6773	4101	1368
otu164	8773	6061	5098
otu165	1584	1314	930
otu166	3623	1530	3117
otu167	8105	6480	6871
otu168	3855	1542	3181
otu169	8163	6992	5726
otu170	3103	3683	4570
otu171	8942	5790	5855
otu172	563	2550	66
otu173	7748	5067	5260
otu174	8884	5699	5255
otu175	6909	7974	5752
otu176	7154	6638	4999
otu177	2847	1324	2879
otu178	6212	5633	4326
otu179	5033	8433	3720
otu180	5345	8120	3319
otu181	2750	1350	2406
otu182	5945	11716	4175
otu183	5405	5495	4935
otu184	2541	1308	2275
otu185	849	4082	1701
otu186	6044	4061	4518
otu187	6002	5882	4208
otu188	5950	2106	4540
otu189	5472	4529	5055
otu190	7212	3901	7720
otu191	4032	3434	3191
otu192	6068	5073	4430
otu193	7482	949	1137
otu194	6217	4548	4553
otu195	6371	4246	4685
otu196	2056	533	1037
otu197	5615	5390	4131
otu198	5263	1882	10548
otu199	5514	4603	3832
otu200	5660	6027	4674
otu201	6582	2861	5257
otu202	5055	1771	2540
otu203	6366	4461	4240
otu204	6819	2877	4317
otu205	4457	4835	4858
otu206	2171	2169	239
otu207	1500	3558	3328
otu208	6323	3415	4192
otu209	4908	5079	3431
otu210	4570	5467	2791
otu211	4873	6634	3298
otu212	5124	4867	3525
otu213	5898	3930	4146
otu214	5503	4115	3944
otu215	4472	4411	3909
otu216	3333	2834	6660
otu217	2665	443	1668
otu218	4116	3797	3247
otu219	4369	4788	4142
otu220	3782	5607	3373
otu221	1737	1594	2126
otu222	5155	4109	3699
otu223	594	4125	1096
otu224	5381	3573	3131
otu225	5547	2665	4599
otu226	4229	5578	3467
otu227	777	14646	726
otu228	4665	1850	3191
otu229	5415	2393	3329
otu230	1764	2303	2522
otu231	1639	404	2495
otu232	5648	3390	3678
otu233	2253	2483	1371
otu234	1004	1740	1919
otu235	4394	3838	3256
otu236	1772	802	1695
otu237	4560	3562	3162
otu238	1309	1596	2349
otu239	1699	1762	308
otu240	4291	3953	2891
otu241	3823	5082	2408
otu242	4540	2855	4366
otu243	4683	2813	2422
otu244	1225	1005	3374
otu245	4335	3819	2536
otu246	4484	4496	2475
otu247	1089	2509	239
otu248	1008	1603	1701
otu249	1697	829	1452
otu250	4568	3482	2978
otu251	2095	1479	5724
otu252	4470	2549	3656
otu253	2282	2236	1111
otu254	2899	4565	1383
otu255	1390	302	2188
otu256	1723	1265	5661
otu257	928	2562	1021
otu258	1218	659	1519
otu259	2880	2642	1804
otu260	4617	3272	2321
otu261	1551	697	1299
otu262	1326	357	1962
otu263	3618	3288	2214
otu264	2953	1854	645
otu265	3674	3532	2194
otu266	1037	1281	1675
otu267	2977	4188	1984
otu268	1121	1319	1451
otu269	4828	2517	3210
otu270	1405	396	1760
otu271	1778	373	1201
otu272	813	724	1416
otu273	3496	2372	3165
otu274	3520	2876	2867
otu275	684	530	482
otu276	3224	3215	2188
otu277	1401	1526	440
otu278	1367	628	1253
otu279	3224	4435	2602
otu280	3732	2238	3131
otu281	2846	3554	1984
otu282	2968	2130	2852
otu283	2955	3048	2245
otu284	3793	3304	2013
otu285	2394	1659	1287
otu286	3008	1901	1191
otu287	1511	1740	1575
otu288	3108	2910	1997
otu289	2872	3817	2114
otu290	4810	2610	1909
otu291	2440	3763	2213
otu292	3033	2647	2534
otu293	3328	2670	2271
otu294	3534	2631	2370
otu295	3655	1803	2532
otu296	1444	488	1099
otu297	1251	651	990
otu298	3742	1682	2961
otu299	939	1381	1514
otu300	3246	2449	2490
otu301	3052	2714	2430
otu302	4891	116	55
otu303	2785	3188	1675
otu304	4064	1785	2237
otu305	2451	2761	2292
otu306	3000	1920	2171
otu307	2509	1982	1862
otu308	2610	2776	2250
otu309	434	4566	356
otu310	927	779	1372
otu311	1431	1401	1017
otu312	2621	3018	1983
otu313	895	904	1477
otu314	2689	2384	2410
otu315	1573	1496	863
otu316	2896	3609	1552
otu317	2745	2258	2295
otu318	2363	2041	2167
otu319	859	485	903
otu320	2357	2886	2093
otu321	1118	823	1313
otu322	1566	1590	770
otu323	1924	1470	3007
otu324	3023	2459	1969
otu325	2952	2233	1830
otu326	581	1373	1463
otu327	2841	2670	1712
otu328	2949	1982	2185
otu329	2085	1408	792
otu330	792	1475	315
otu331	2940	2255	1749
otu332	491	1301	1307
otu333	670	1014	1226
otu334	2381	2050	2002
otu335	1274	454	986
otu336	1083	793	810
otu337	3046	1246	2439
otu338	2168	2090	2004
otu339	2355	2001	2218
otu340	801	934	970
otu341	2760	1928	1384
otu342	1000	444	977
otu343	1302	254	851
otu344	440	925	1510
otu345	640	991	1187
otu346	1943	2285	1679
otu347	2304	2966	1381
otu348	1048	272	808
otu349	2024	2011	1650
otu350	2505	1809	1469
otu351	2228	2606	1357
otu352	2203	1773	2155
otu353	638	1098	240
otu354	2857	2465	1438
otu355	2421	2287	1763
otu356	2235	1537	1863
otu357	734	942	1458
otu358	782	1381	4148
otu359	592	1219	342
otu360	468	686	928
otu361	2340	1861	1306
otu362	2539	1773	1381
otu363	1136	415	817
otu364	1790	2356	1660
otu365	1907	1714	1267
otu366	551	1373	315
otu367	2053	1791	1792
otu368	2520	1330	1573
otu369	462	562	1207
otu370	2431	1650	1618
otu371	2571	1249	1685
otu372	1636	1273	1292
otu373	664	717	970
otu374	1927	2034	1807
otu375	939	437	732
otu376	2604	1585	1728
otu377	2957	872	1521
otu378	1078	402	988
otu379	2585	1781	1353
otu380	953	581	1035
otu381	2205	1493	1548
otu382	1684	2556	1329
otu383	905	731	880
otu384	2419	1453	1552
otu385	2569	873	3387
otu386	1631	1324	989
otu387	647	343	712
otu388	2360	996	2130
otu389	164	331	1295
otu390	278	916	1096
otu391	2193	1938	1203
otu392	2744	1411	1017
otu393	719	597	860
otu394	1291	1864	2481
otu395	525	745	1259
otu396	2641	1738	1518
otu397	1664	2873	1282
otu398	1640	1793	1520
otu399	633	1084	198
otu400	1863	1181	1307
otu401	1846	2676	1273
otu402	357	1336	753
otu403	2505	1038	1621
otu404	2098	2116	1383
otu405	629	624	815
otu406	989	1061	643
otu407	753	531	840
otu408	920	438	799
otu409	3152	171	154
otu410	968	323	696
otu411	134	35	168
otu412	1774	2766	1270
otu413	1462	2048	1615
otu414	927	1791	1601
otu415	501	986	184
otu416	1838	1483	1423
otu417	868	416	692
otu418	2225	1664	1421
otu419	198	195	113
otu420	2083	1859	1411
otu421	2337	1679	1237
otu422	573	1070	231
otu423	1103	838	366
otu424	2272	1663	1503
otu425	2209	970	1770
otu426	1568	1470	1724
otu427	1959	1784	1558
otu428	1669	1823	1132
otu429	1888	1825	1456
