	MPSG1	MPSG2	MPSG3
otu1	1259386	749400	760737
otu2	500941	556998	426634
otu3	173602	224230	168127
otu4	145193	157831	196316
otu5	71698	74969	57239
otu6	262795	240356	282197
otu7	40954	41916	53370
otu8	140534	179079	149686
otu9	141701	21928	100156
otu10	61666	101155	64621
otu11	64355	134948	127121
otu12	62951	77126	49818
otu13	61783	47224	61839
otu14	74912	136622	114810
otu15	41189	52958	36901
otu16	48943	57317	40600
otu17	23979	121754	24058
otu18	74015	106099	68453
otu19	28737	41922	30886
otu20	24281	50643	35917
otu21	51767	32738	93582
otu22	30478	40131	30401
otu23	42628	103106	61787
otu24	18534	40444	19861
otu25	50076	37160	58998
otu26	11992	10551	13683
otu27	14009	4901	16246
otu28	19538	41763	15348
otu29	25146	31061	19093
otu30	15587	59600	14788
otu31	49570	64741	54642
otu32	10008	1674	4716
otu33	18991	28261	19020
otu34	55688	41554	34061
otu35	41547	25699	20502
otu36	15389	53146	13111
otu37	46821	40774	55038
otu38	17536	18303	16455
otu39	13375	35122	21267
otu40	11536	25880	12271
otu41	46284	46727	40590
otu42	20859	15088	17085
otu43	40208	27952	34078
otu44	11053	19457	11344
otu45	22515	57215	19038
otu46	13845	19721	24359
otu47	49030	24626	56417
otu48	16683	11562	12785
otu49	10819	19497	10245
otu50	5760	35354	837
otu51	6902	6949	7626
otu52	10555	18738	10680
otu53	16053	81445	26942
otu54	7493	15728	7432
otu55	11272	12333	14634
otu56	9357	10266	14776
otu57	6130	13158	6167
otu58	9187	19742	9072
otu59	12743	15406	11057
otu60	21271	22523	20855
otu61	7998	8494	7948
otu62	5927	20293	4951
otu63	8389	11470	14805
otu64	5301	55906	7208
otu65	8147	12210	7280
otu66	22494	19188	19664
otu67	7473	9815	6300
otu68	5529	21834	7652
otu69	10481	18738	10132
otu70	4076	2455	2816
otu71	18626	14931	12832
otu72	7208	9965	5342
otu73	20514	10783	25299
otu74	17793	15374	13824
otu75	5563	8378	6202
otu76	11068	15835	18070
otu77	5191	9244	6086
otu78	11466	28014	12532
otu79	10535	16747	15324
otu80	5104	2565	12398
otu81	5886	10214	5046
otu82	8480	7377	4195
otu83	7803	16923	4598
otu84	6147	10730	4757
otu85	13095	15560	14064
otu86	12895	13357	7711
otu87	5052	6932	5016
otu88	10085	17661	13103
otu89	4832	6674	4937
otu90	11540	10709	12892
otu91	9610	14862	12470
otu92	6860	25749	7506
otu93	7585	14439	11633
otu94	5299	15006	12070
otu95	7888	18546	10851
otu96	13863	7938	16407
otu97	7775	5997	4117
otu98	6271	13495	6784
otu99	3234	746	5197
otu100	6133	2475	5219
otu101	10375	7398	3717
otu102	9947	11157	8854
otu103	9430	12966	7330
otu104	3576	5929	3582
otu105	17734	6262	9189
otu106	11462	9094	8343
otu107	3894	6073	3371
otu108	4483	5716	5263
otu109	4485	13077	10565
otu110	13253	4059	25856
