OTUID	CKG1	CKG2	CKG3
otu1	8	0	3
otu2	153	167	133
otu3	206	96	24
otu4	1	0	2
otu5	129	113	41
otu6	90	63	37
otu7	0	2	0
otu8	41	70	28
otu9	0	0	8
otu10	0	0	0
otu11	47	36	30
otu12	14	0	9
otu13	2	2	2
otu14	8	0	3
otu15	2	0	0
otu16	1	0	0
otu17	0	0	0
otu18	7	4	5
otu19	0	0	0
otu20	0	1	0
otu21	1	5	0
otu22	4	9	9
otu23	0	0	0
otu24	10	8	7
otu25	0	0	0
otu26	3	0	0
otu27	0	0	2
otu28	0	0	0
otu29	0	0	0
otu30	3	0	0
otu31	0	3	0
otu32	9	0	0
otu33	13	13	3
otu34	7	5	6
otu35	0	0	0
otu36	18	0	0
otu37	9	8	3
otu38	0	0	0
otu39	0	2	4
otu40	0	0	0
otu41	4	0	4
otu42	0	0	0
otu43	2	3	2
otu44	6	0	5
otu45	0	0	8
otu46	4	0	4
otu47	0	0	0
otu48	2	0	0
otu49	0	0	0
otu50	6	0	0
otu51	0	0	0
otu52	0	0	3
otu53	0	2	0
otu54	0	0	3
otu55	2	0	0
otu56	0	5	0
otu57	0	0	3
otu58	0	0	0
