OTUID	MPSG1	MPSG2	MPSG3
otu1	11	39	37
otu2	41	157	40
otu3	87	26	101
otu4	2	0	8
otu5	61	38	71
otu6	49	37	42
otu7	11	4	2
otu8	22	6	4
otu9	2	3	0
otu10	0	0	10
otu11	16	19	32
otu12	0	13	15
otu13	0	9	13
otu14	6	4	6
otu15	4	5	17
otu16	0	7	3
otu17	0	0	7
otu18	1	3	141
otu19	10	9	0
otu20	14	0	0
otu21	3	0	3
otu22	6	4	0
otu23	6	7	6
otu24	9	9	8
otu25	6	3	7
otu26	2	0	0
otu27	3	0	0
otu28	0	2	5
otu29	0	2	30
otu30	0	5	0
otu31	3	0	0
otu32	0	0	0
otu33	2	0	0
otu34	5	5	2
otu35	0	0	20
otu36	0	0	10
otu37	0	0	0
otu38	0	15	0
otu39	3	0	0
otu40	0	0	5
otu41	0	3	0
otu42	0	0	32
otu43	7	0	3
otu44	0	0	0
otu45	0	0	0
otu46	0	0	4
otu47	4	2	0
otu48	0	5	0
otu49	0	0	6
otu50	0	0	0
otu51	0	5	0
otu52	4	0	0
otu53	0	0	3
otu54	0	2	0
otu55	3	0	4
otu56	0	0	0
otu57	3	0	0
otu58	5	0	0
