	CKG1	CKG2	CKG3
otu1	208	0	164
otu2	2871	183	90
otu3	91	0	82
otu4	1465	2219	909
otu5	93	15	92
otu6	49	0	10
otu7	55	3	43
otu8	1176	885	807
otu9	57	0	60
otu10	0	0	16
otu11	29	0	42
otu12	26	0	15
otu13	379	201	412
otu14	17	0	11
otu15	205	26	10
otu16	337	202	462
otu17	216	155	232
otu18	157	0	0
otu19	15	0	16
otu20	14	0	0
otu21	11	0	23
otu22	14	0	22
otu23	2	0	7
otu24	191	38	48
otu25	123	56	110
otu26	0	0	4
otu27	110	63	118
otu28	98	55	40
otu29	164	153	81
otu30	64	67	74
otu31	0	0	0
otu32	0	0	14
otu33	126	0	1
otu34	72	30	66
otu35	85	26	65
otu36	0	0	6
otu37	20	25	26
otu38	7	19	35
otu39	0	0	46
otu40	88	28	12
otu41	9	109	31
otu42	0	0	0
otu44	37	77	30
otu45	0	0	0
otu46	49	17	6
otu47	32	0	3
otu48	54	13	12
otu49	3	1	0
otu50	11	15	35
otu52	6	0	0
otu53	16	14	0
otu54	10	19	19
otu55	0	0	24
otu57	0	0	23
otu58	0	17	7
otu59	7	13	17
otu60	0	0	0
otu61	0	0	0
otu62	12	3	3
otu63	0	0	0
otu64	7	0	11
otu65	0	0	0
otu66	16	14	17
otu67	0	0	0
otu68	8	0	0
otu69	0	4	0
otu70	27	17	2
otu71	27	18	0
otu72	0	0	0
otu73	0	0	24
otu74	15	0	0
otu75	4	16	5
otu77	2	4	0
otu79	10	5	5
otu80	27	0	0
otu82	6	4	5
otu83	0	0	10
otu85	7	0	0
otu86	0	2	0
otu88	5	6	17
otu91	0	0	0
otu92	19	0	0
otu94	0	0	22
otu95	5	9	26
otu96	3	0	3
otu97	0	0	8
otu98	0	3	25
otu99	0	0	0
otu101	0	0	0
otu102	6	6	7
otu107	0	7	0
otu110	6	0	0
otu111	9	6	0
otu112	2	14	0
otu114	0	4	0
otu115	0	0	0
otu119	12	0	0
otu121	0	0	0
otu123	0	0	0
otu125	0	17	0
otu126	3	0	1
otu127	5	1	0
otu128	0	10	0
otu129	2	12	0
otu130	8	0	0
otu132	0	0	0
otu134	5	0	0
otu135	0	6	0
otu137	0	0	6
otu139	0	2	0
otu140	5	4	0
otu141	0	13	0
otu142	0	0	0
otu146	0	0	0
otu147	0	0	0
otu149	0	0	4
otu150	0	0	0
otu155	0	0	0
otu156	0	4	0
otu157	0	7	0
otu161	0	9	0
otu162	0	6	0
otu163	0	6	0
otu167	2	2	5
otu168	0	0	0
otu169	0	0	0
otu173	0	8	0
otu174	0	0	0
otu175	5	2	0
otu176	0	2	5
otu182	0	0	0
otu184	0	0	0
otu185	0	0	0
otu186	0	6	0
otu187	0	0	0
otu192	0	0	6
otu195	0	6	0
otu196	0	0	0
otu197	0	5	0
otu200	0	0	5
