	MPSG1	MPSG2	MPSG3
otu1	798	456	688
otu2	4947	6099	2845
otu3	315	240	406
otu4	395	1009	673
otu5	361	406	394
otu6	223	170	210
otu7	107	109	266
otu8	190	367	310
otu9	175	97	87
otu10	67	173	74
otu11	106	91	67
otu12	117	144	100
otu13	198	58	118
otu14	0	30	63
otu15	557	265	168
otu16	22	214	111
otu17	168	48	96
otu18	325	221	147
otu19	30	83	25
otu20	34	56	36
otu21	10	35	59
otu22	32	25	30
otu23	128	471	83
otu24	46	61	69
otu25	34	105	42
otu26	0	42	22
otu27	52	26	27
otu28	65	21	168
otu29	15	22	24
otu30	54	20	17
otu31	9	11	0
otu32	0	0	0
otu33	6	5	8
otu34	14	32	27
otu35	11	25	22
otu36	0	11	15
otu37	11	29	27
otu38	24	13	47
otu39	29	153	3
otu40	0	9	0
otu41	13	0	26
otu42	0	20	0
otu44	5	0	4
otu45	0	15	9
otu46	4	20	28
otu47	7	2	10
otu48	0	28	14
otu49	0	0	37
otu50	13	35	12
otu52	0	0	0
otu53	30	0	5
otu54	26	6	14
otu55	10	80	7
otu57	11	66	3
otu58	3	17	3
otu59	22	5	10
otu60	0	0	12
otu61	0	0	6
otu62	17	26	9
otu63	18	0	0
otu64	14	41	3
otu65	13	41	6
otu66	6	2	12
otu67	7	0	0
otu68	6	15	10
otu69	0	49	0
otu70	0	17	0
otu71	2	4	0
otu72	0	64	0
otu73	0	23	3
otu74	10	4	6
otu75	0	6	5
otu77	8	23	7
otu79	0	3	0
otu80	9	0	0
otu82	5	6	9
otu83	3	37	0
otu85	0	0	0
otu86	5	21	3
otu88	6	0	0
otu91	6	21	6
otu92	8	0	0
otu94	0	0	0
otu95	2	0	0
otu96	4	0	12
otu97	4	28	0
otu98	0	0	0
otu99	0	0	39
otu101	0	31	0
otu102	3	2	4
otu107	3	0	6
otu110	3	0	8
otu111	4	0	4
otu112	0	3	2
otu114	0	11	0
otu115	17	0	4
otu119	0	0	0
otu121	12	2	4
otu123	0	0	8
otu125	0	0	0
otu126	0	4	0
otu127	7	0	0
otu128	0	2	0
otu129	0	0	1
otu130	0	0	0
otu132	5	0	0
otu134	0	0	7
otu135	0	0	3
otu137	0	8	0
otu139	0	8	3
otu140	0	2	0
otu141	0	0	0
otu142	0	2	11
otu146	0	3	10
otu147	0	4	9
otu149	0	8	0
otu150	0	12	0
otu155	0	0	10
otu156	0	0	6
otu157	0	0	0
otu161	0	0	0
otu162	0	0	0
otu163	0	0	0
otu167	0	0	0
otu168	0	9	0
otu169	0	0	9
otu173	0	0	0
otu174	0	0	7
otu175	0	0	0
otu176	0	0	0
otu182	0	0	6
otu184	0	6	0
otu185	0	2	4
otu186	0	0	0
otu187	6	0	0
otu192	0	0	0
otu195	0	0	0
otu196	6	0	0
otu197	0	0	0
otu200	0	0	0
