otu_id,lineage,CKG1,CKG2,CKG3,MPSG1,MPSG2,MPSG3
otu4,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium_A4,403941,273735,331831,145193,157831,196316
otu7,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia_abortus,23873,5977,23458,40954,41916,53370
otu9,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium_3-1,311942,33439,98291,141701,21928,100156
otu11,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-110_(HZI),30734,59850,120932,64355,134948,127121
otu15,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp._1-3,184232,157369,134188,41189,52958,36901
otu18,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._MGM2,21539,64902,78047,74015,106099,68453
otu20,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor_muris,115697,85831,102929,24281,50643,35917
otu21,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-080_(Janvier),20985,58785,84551,51767,32738,93582
otu22,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium_COE1,110058,76548,73408,30478,40131,30401
otu25,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-104_(HZI),19895,42672,51002,50076,37160,58998
otu27,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter_ganmani,129357,40297,85854,14009,4901,16246
