OTU,CKG1,CKG2,CKG3,MPSG1,MPSG2,MPSG3
Botu10,208321,152019,142536,61666,101155,64621
Botu161,3159,2494,4082,4615,5967,5192
Botu652,290,282,416,688,713,749
Botu8,66405,89878,101165,140534,179079,149686
Botu173,7748,5067,5260,2000,3208,3217
Botu3,607606,510604,456437,173602,224230,168127
Botu1,423592,862011,342997,1259386,749400,760737
Botu12,182163,128324,158337,62951,77126,49818
Botu272,813,724,1416,781,3275,3089
Botu6,90969,193709,155786,262795,240356,282197
Fotu11,47,36,30,16,19,32
Fotu32,9,0,0,0,0,0
Fotu20,0,1,0,14,0,0
Fotu1,8,0,3,11,39,37
Fotu23,0,0,0,6,7,6
Fotu37,9,8,3,0,0,0
Fotu15,2,0,0,4,5,17
Fotu33,13,13,3,2,0,0
Votu2,2871,183,90,4947,6099,2845
Votu4,1465,2219,909,395,1009,673
Votu80,27,0,0,9,0,0
Votu6,49,0,10,223,170,210
Votu95,5,9,26,2,0,0
Votu8,1176,885,807,190,367,310
Votu30,64,67,74,54,20,17
Votu3,91,0,82,315,240,406
Votu63,0,0,0,18,0,0
Votu1,208,0,164,798,456,688
