OTU,CKG1,CKG2,CKG3,MPSG1,MPSG2,MPSG3
SOD,135.47,131.89,139.54,98.79,95.47,90.58
CAT,8.54,8.69,8.28,4.69,4.24,4.49
MDA,198.67,175.58,188.67,273.65,259.84,266.49
MPO,3.58,3.69,3.45,2.04,2.16,2.09
GSH,108.21,101.35,110.69,77.97,85.65,71.65
GSSG,56.87,52.65,50.78,84.96,80.69,75.69
GSH-Px,18.64,22.69,20.47,11.57,9.68,13.54
ROS,56.78,68.69,60.24,89.36,84.21,79.58
NO,2.78,2.14,2.39,3.45,3.18,3.27
Muc1,1,1,1,7.7634,7.3544,7.6544
Muc2,1,1,1,0.2131,0.1958,0.2054
Muc3,1,1,1,0.4253,0.4125,0.4026
Klf4,1,1,1,0.3702,0.3598,0.3614
Meprin-b,1,1,1,0.3171,0.3358,0.3028
Retnlb,1,1,1,1.2058,1.2159,1.2365
JNF-kB p65,1,1,1,1.508,1.512,1.501
JNLRP3,1,1,1,3.498,3.475,3.428
J1L-1,1,1,1,1.519,1.504,1.511
J1L-6,1,1,1,5.039,5.124,5.094
JTNF-a,1,1,1,5.67,5.24,5.39
HNF-kB p65,1,1,1,1.1434,1.1358,1.1405
HNLRP3,1,1,1,1.1176,1.1247,1.1298
H1L-1b,1,1,1,5.1099,5.0654,5.0146
H1L-6,1,1,1,19.1158,19.0544,19.0154
HTNF-a,1,1,1,4.68,4.45,4.39
JSI,1,1,1,1.0743,1.0544,1.0654
JSLC15A1,1,1,1,0.0724,0.0658,0.0708
JALPI,1,1,1,0.573,0.559,0.568
JOCLN,1,1,1,0.4547,0.4698,0.4457
JCLDN2,1,1,1,0.7614,0.7602,0.7544
JZO1,1,1,1,0.3415,0.3325,0.3224
HSI,1,1,1,0.8868,0.8547,0.7698
HSLC15A1,1,1,1,1.2894,1.1458,1.2548
HALPI,1,1,1,0.9374,0.8963,0.9254
HOCLN,1,1,1,1.0092,1.0154,1.0298
HCLDN2,1,1,1,1.1019,1.1069,1.1024
HZO1,1,1,1,0.9839,0.9587,0.9245
